x	y
2535.273	0.229
2535.273	0.228
2535.273	0.228
2543.344	0.228
2551.110	0.227
2559.231	0.227
2559.231	0.226
2567.045	0.226
2572.460	0.226
2572.460	0.225
2577.918	0.225
2577.918	0.225
2577.918	0.224
2586.126	0.224
2594.361	0.223
2602.280	0.223
2610.225	0.223
2610.225	0.222
2617.414	0.221
2617.414	0.221
2622.968	0.221
2630.974	0.220
2630.974	0.220
2636.556	0.220
2636.556	0.219
2636.556	0.219
2644.604	0.218
2652.678	0.218
2652.678	0.217
2661.093	0.217
2661.093	0.217
2669.218	0.216
2677.365	0.216
2677.365	0.216
2685.891	0.215
2685.891	0.215
2700.159	0.214
2708.724	0.213
2717.350	0.213
2723.114	0.212
2723.114	0.212
2731.427	0.212
2731.427	0.211
2731.427	0.211
2739.765	0.211
2748.130	0.211
2748.130	0.210
2756.847	0.210
2756.847	0.210
2765.266	0.209
2765.266	0.209
2773.704	0.208
2799.918	0.207
2808.832	0.206
2817.408	0.206
2817.408	0.205
2817.408	0.205
2826.008	0.204
2834.636	0.204
2843.288	0.204
2843.288	0.203
2851.969	0.203
2851.969	0.203
2851.969	0.202
2851.969	0.202
2860.674	0.202
2860.674	0.202
2869.748	0.201
2884.618	0.200
2884.618	0.200
2893.422	0.200
2893.422	0.199
2902.636	0.198
2902.636	0.198
2902.636	0.198
2902.636	0.197
2917.674	0.196
2933.139	0.196
2933.139	0.196
2942.478	0.196
2942.478	0.195
2948.721	0.195
2948.721	0.195
2948.721	0.194
2958.075	0.194
2961.036	0.194
2986.385	0.192
2995.503	0.192
2995.503	0.191
2995.503	0.191
3005.040	0.191
3005.040	0.190
3005.040	0.190
3014.609	0.190
3021.006	0.190
3030.227	0.189
3030.227	0.189
3036.624	0.188
3045.890	0.188
3052.353	0.187
3081.566	0.186
3081.566	0.186
3081.566	0.185
3081.566	0.185
3101.221	0.184
3110.689	0.184
3110.689	0.183
3117.287	0.183
3117.287	0.183
3117.287	0.183
3117.287	0.182
3126.804	0.181
3146.714	0.180
3156.317	0.180
3156.317	0.179
3156.317	0.179
3165.956	0.179
3165.956	0.178
3185.729	0.178
3202.613	0.177
3223.043	0.176
3223.043	0.175
3232.881	0.175
3253.463	0.174
3270.747	0.173
3270.747	0.172
3291.139	0.172
3301.617	0.171
3308.623	0.171
3308.623	0.171
3308.623	0.170
3310.539	0.172
3318.722	0.169
3328.854	0.169
3339.015	0.169
3339.015	0.168
3381.706	0.166
3388.845	0.165
3399.186	0.165
3399.186	0.165
3399.186	0.165
3399.186	0.164
3410.011	0.164
3410.011	0.164
3410.011	0.164
3431.760	0.163
3439.000	0.163
3439.000	0.163
3446.297	0.162
3456.816	0.162
3478.865	0.161
3504.726	0.159
3512.162	0.159
3512.162	0.159
3522.882	0.159
3522.882	0.158
3533.638	0.158
3533.638	0.158
3533.638	0.158
3544.424	0.157
3566.990	0.156
3578.346	0.155
3578.346	0.155
3589.271	0.155
3589.271	0.155
3596.887	0.154
3608.297	0.154
3608.297	0.153
3619.310	0.153
3619.310	0.153
3630.361	0.153
3641.441	0.153
3664.188	0.152
3675.856	0.152
3675.856	0.152
3687.076	0.152
3698.772	0.151
3706.620	0.151
3717.937	0.151
3717.937	0.150
3717.937	0.150
3729.285	0.149
3729.285	0.149
3729.285	0.148
3729.285	0.148
3730.041	0.148
3740.671	0.148
3753.832	0.146
3753.832	0.146
3761.797	0.146
3761.797	0.146
3761.797	0.145
3769.732	0.145
3769.732	0.145
3769.732	0.145
3777.731	0.145
3777.731	0.144
3777.731	0.144
3789.262	0.144
3800.831	0.144
3800.831	0.143
3800.831	0.143
3812.432	0.143
3832.688	0.143
3832.688	0.142
3844.387	0.142
3852.544	0.142
3852.544	0.141
3860.671	0.141
3869.535	0.141
3872.458	0.141
3884.278	0.140
3884.278	0.140
3896.137	0.140
3896.137	0.140
3908.541	0.139
3908.541	0.139
3908.541	0.138
3920.474	0.138
3932.956	0.138
3941.301	0.137
3941.301	0.137
3961.674	0.137
3961.674	0.137
3973.766	0.136
3986.420	0.136
3986.420	0.136
3994.879	0.135
4007.597	0.135
4007.597	0.135
4007.597	0.134
4019.833	0.134
4032.103	0.134
4032.103	0.134
4040.608	0.133
4040.608	0.133
4052.945	0.133
4052.945	0.133
4052.945	0.132
4052.945	0.132
4065.848	0.132
4065.848	0.131
4091.784	0.131
4091.784	0.130
4100.416	0.130
4100.416	0.130
4112.932	0.130
4112.932	0.130
4125.489	0.130
4138.081	0.129
4138.081	0.129
4150.715	0.128
