x	y
1449.479	1.242
1449.479	1.239
1449.479	1.236
1453.904	1.233
1456.989	1.233
1461.628	1.232
1461.628	1.230
1461.628	1.227
1466.090	1.227
1466.090	1.224
1470.565	1.224
1470.565	1.222
1475.055	1.219
1479.557	1.217
1479.557	1.214
1484.269	1.214
1487.400	1.211
1487.400	1.209
1491.941	1.209
1491.941	1.204
1496.495	1.201
1501.064	1.197
1505.646	1.192
1515.249	1.189
1518.067	1.185
1519.875	1.187
1519.875	1.184
1519.875	1.181
1524.515	1.181
1524.515	1.180
1529.169	1.180
1529.169	1.178
1533.837	1.175
1533.837	1.172
1538.520	1.172
1543.216	1.170
1543.216	1.167
1543.216	1.164
1547.927	1.164
1547.927	1.163
1551.212	1.160
1551.212	1.157
1554.484	1.157
1554.484	1.155
1559.229	1.155
1559.229	1.152
1563.989	1.150
1563.989	1.147
1568.763	1.147
1568.763	1.144
1568.763	1.142
1573.553	1.142
1573.553	1.139
1578.562	1.139
1578.562	1.137
1583.589	1.137
1583.589	1.135
1588.613	1.135
1588.613	1.131
1591.983	1.131
1596.843	1.129
1601.718	1.124
1606.817	1.122
1606.817	1.120
1610.227	1.118
1615.143	1.115
1615.143	1.113
1620.266	1.112
1625.212	1.112
1625.212	1.107
1630.387	1.105
1630.387	1.102
1630.387	1.100
1635.364	1.100
1635.364	1.098
1638.834	1.098
1638.834	1.095
1638.834	1.093
1644.052	1.090
1647.540	1.090
1647.540	1.088
1651.016	1.088
1651.016	1.086
1656.056	1.086
1656.056	1.083
1661.112	1.081
1661.112	1.078
1664.635	1.078
1664.635	1.076
1668.167	1.073
1673.260	1.073
1673.260	1.071
1676.810	1.068
1676.810	1.067
1681.929	1.067
1681.929	1.062
1685.499	1.059
1685.499	1.058
1690.642	1.058
1695.804	1.055
1695.804	1.053
1699.381	1.053
1699.381	1.051
1704.569	1.051
1704.569	1.049
1707.955	1.049
1709.997	1.047
1713.625	1.044
1713.625	1.042
1718.856	1.039
1718.856	1.037
1724.104	1.035
1729.366	1.035
1729.366	1.032
1739.941	1.030
1739.941	1.028
1745.253	1.028
1745.253	1.025
1745.253	1.023
1750.580	1.023
1750.580	1.021
1754.294	1.018
1765.021	1.012
1768.745	1.010
1768.745	1.008
1774.145	1.008
1774.145	1.004
1779.560	1.004
1779.560	1.002
1784.993	0.999
1784.993	0.998
1790.676	0.996
1802.098	0.991
1805.901	0.989
1805.901	0.988
1809.731	0.988
1809.731	0.983
1819.346	0.979
1825.117	0.976
1825.117	0.974
1830.688	0.974
1830.688	0.973
1830.688	0.971
1836.518	0.966
1842.365	0.966
1842.365	0.962
1842.365	0.960
1848.232	0.960
1848.232	0.958
1848.232	0.956
1859.999	0.953
1859.999	0.949
1865.676	0.949
1865.676	0.947
1865.676	0.945
1874.829	0.947
1875.565	0.942
1875.565	0.940
1875.565	0.939
1881.540	0.939
1881.540	0.937
1881.540	0.935
1887.528	0.933
1887.528	0.930
1893.291	0.930
1893.291	0.928
1899.070	0.928
1899.070	0.926
1904.868	0.924
1910.682	0.922
1914.737	0.919
1920.810	0.917
1920.810	0.915
1924.886	0.914
1928.969	0.912
1928.969	0.911
1928.969	0.909
1934.858	0.907
1941.018	0.907
1951.307	0.903
1955.447	0.901
1955.447	0.899
1955.447	0.897
1965.835	0.893
1978.351	0.889
1984.389	0.889
1984.389	0.888
1988.600	0.886
1998.902	0.882
2005.243	0.879
2009.498	0.879
2009.498	0.877
2009.498	0.875
2015.897	0.875
2022.291	0.871
2028.729	0.871
2028.729	0.869
2033.034	0.867
2039.241	0.865
2039.241	0.863
2049.269	0.863
2050.074	0.859
2054.399	0.857
2060.671	0.855
2073.543	0.852
2079.872	0.852
2084.285	0.848
2097.031	0.844
2103.708	0.840
2110.382	0.840
2110.382	0.839
2116.823	0.839
2116.823	0.837
2116.823	0.835
2127.790	0.832
2127.790	0.830
2134.286	0.830
2134.286	0.829
2138.814	0.827
2138.814	0.825
2143.351	0.822
2156.457	0.820
2156.457	0.818
2161.008	0.817
2161.008	0.815
2165.592	0.813
2172.203	0.810
2185.772	0.809
2185.772	0.807
2190.008	0.809
2190.410	0.805
2204.354	0.802
2204.354	0.800
2211.084	0.799
2211.084	0.797
2211.084	0.795
2217.833	0.793
2224.604	0.792
2224.604	0.790
2231.394	0.788
2236.129	0.786
2242.956	0.784
2242.956	0.783
2252.483	0.780
2259.628	0.778
2259.628	0.777
2266.527	0.777
2266.527	0.775
2266.527	0.773
2273.445	0.773
2280.685	0.770
2287.646	0.768
2294.631	0.767
2294.631	0.765
2301.635	0.765
2301.635	0.761
2301.635	0.760
2308.662	0.759
2308.662	0.757
2308.662	0.756
2316.011	0.756
2316.011	0.754
2316.011	0.752
2320.926	0.752
2320.926	0.751
2320.926	0.749
2328.012	0.749
2328.012	0.747
2332.923	0.747
2332.923	0.745
2340.044	0.744
2347.188	0.742
2347.188	0.741
2352.168	0.741
2352.168	0.739
2353.531	0.750
2357.157	0.739
2357.157	0.738
2364.354	0.738
2364.354	0.736
2371.571	0.735
2379.123	0.735
2379.123	0.733
2386.385	0.731
2386.385	0.730
2391.421	0.730
2391.421	0.729
2399.034	0.729
2399.034	0.727
2399.034	0.726
2406.359	0.726
2413.704	0.722
2418.825	0.722
2418.825	0.721
2421.073	0.722
2426.208	0.719
2426.208	0.717
2433.616	0.717
2433.616	0.716
2433.616	0.714
2441.048	0.714
2441.048	0.712
2441.048	0.711
2448.818	0.711
2448.818	0.709
2448.818	0.708
2456.585	0.708
2456.585	0.706
2464.086	0.705
2464.086	0.703
2464.086	0.701
2471.930	0.698
2479.802	0.698
2479.802	0.697
2486.898	0.695
2487.371	0.695
2487.371	0.693
2494.966	0.692
2494.966	0.690
2502.581	0.690
2502.581	0.689
2502.581	0.688
2510.520	0.688
2510.520	0.686
2510.520	0.685
2518.514	0.683
2518.514	0.681
2526.534	0.680
2526.534	0.678
2531.893	0.678
2531.893	0.677
2531.893	0.675
2548.013	0.674
2548.013	0.673
2548.013	0.671
2555.790	0.671
2563.593	0.671
2563.593	0.669
2571.422	0.669
2579.269	0.667
2579.269	0.666
2587.483	0.664
2587.483	0.662
2595.720	0.662
2595.720	0.661
2603.954	0.661
2603.954	0.659
2611.904	0.659
2611.904	0.658
2611.904	0.656
2619.877	0.655
2619.877	0.653
2628.219	0.652
2636.242	0.652
2636.242	0.651
2636.242	0.650
2644.291	0.650
2652.362	0.649
