x	y
2.943e5	0.039
2.952e5	0.039
2.970e5	0.038
2.979e5	0.038
2.988e5	0.038
2.988e5	0.038
2.988e5	0.038
2.988e5	0.038
3.007e5	0.038
3.007e5	0.038
3.016e5	0.038
3.026e5	0.037
3.035e5	0.037
3.044e5	0.037
3.044e5	0.037
3.044e5	0.037
3.054e5	0.037
3.063e5	0.037
3.073e5	0.037
3.089e5	0.036
3.089e5	0.036
3.102e5	0.036
3.102e5	0.036
3.119e5	0.036
3.119e5	0.036
3.135e5	0.036
3.139e5	0.036
3.139e5	0.036
3.145e5	0.036
3.155e5	0.035
3.174e5	0.035
3.184e5	0.035
3.201e5	0.035
3.210e5	0.035
3.217e5	0.035
3.227e5	0.034
3.244e5	0.034
3.261e5	0.034
3.268e5	0.034
3.268e5	0.034
3.298e5	0.034
3.308e5	0.033
3.308e5	0.033
3.319e5	0.033
3.339e5	0.033
3.339e5	0.033
3.339e5	0.033
3.353e5	0.033
3.364e5	0.033
3.364e5	0.033
3.371e5	0.032
3.392e5	0.032
3.399e5	0.032
3.427e5	0.032
3.448e5	0.032
3.459e5	0.032
3.466e5	0.032
3.496e5	0.031
3.507e5	0.031
3.507e5	0.031
3.507e5	0.031
3.528e5	0.031
3.551e5	0.031
3.562e5	0.031
3.562e5	0.031
3.583e5	0.030
3.583e5	0.030
3.595e5	0.030
3.618e5	0.030
3.618e5	0.030
3.618e5	0.030
3.641e5	0.030
3.659e5	0.030
3.667e5	0.029
3.679e5	0.029
3.702e5	0.029
3.702e5	0.029
3.721e5	0.029
3.733e5	0.029
3.741e5	0.029
3.741e5	0.028
3.772e5	0.028
3.783e5	0.028
3.803e5	0.028
3.803e5	0.028
3.823e5	0.028
3.843e5	0.028
3.843e5	0.028
3.855e5	0.028
3.867e5	0.027
3.891e5	0.027
3.903e5	0.027
3.915e5	0.027
3.915e5	0.027
3.952e5	0.027
3.977e5	0.027
3.977e5	0.026
4.040e5	0.026
4.040e5	0.026
4.040e5	0.026
4.048e5	0.026
4.061e5	0.026
4.061e5	0.026
4.099e5	0.026
4.121e5	0.025
4.121e5	0.025
4.121e5	0.025
4.146e5	0.025
4.168e5	0.025
4.177e5	0.025
4.177e5	0.025
4.190e5	0.025
4.229e5	0.025
4.229e5	0.024
4.256e5	0.024
4.256e5	0.024
4.292e5	0.024
4.302e5	0.024
4.339e5	0.024
4.339e5	0.024
4.339e5	0.024
4.348e5	0.024
4.380e5	0.024
4.380e5	0.024
4.380e5	0.024
4.394e5	0.023
4.407e5	0.023
4.434e5	0.023
4.434e5	0.023
4.450e5	0.023
4.464e5	0.023
4.464e5	0.023
4.507e5	0.023
4.507e5	0.023
4.507e5	0.023
4.521e5	0.022
4.549e5	0.022
4.563e5	0.022
4.578e5	0.022
4.592e5	0.022
4.621e5	0.022
4.621e5	0.022
4.636e5	0.022
4.646e5	0.022
4.669e5	0.022
4.675e5	0.022
4.675e5	0.022
4.689e5	0.021
4.719e5	0.021
4.729e5	0.021
4.744e5	0.021
4.744e5	0.021
4.788e5	0.021
4.834e5	0.021
4.834e5	0.021
4.848e5	0.021
4.863e5	0.021
4.904e5	0.021
4.904e5	0.020
4.929e5	0.020
4.929e5	0.020
4.944e5	0.020
4.944e5	0.020
4.959e5	0.020
4.974e5	0.020
4.990e5	0.020
4.990e5	0.020
5.021e5	0.020
5.037e5	0.020
5.078e5	0.020
5.078e5	0.019
5.110e5	0.019
5.153e5	0.019
5.196e5	0.019
